Code,idTree,DateField,Forest,Plot,SubPlot,FieldNbr,Habitat,Type,Genus,Species,Name,gmin,tlp,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA,N,C,P,Ca,Na,K,LSWC,SD,fvfm,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition
20,148077,26/10/2020,Paracou,15,3,593,TF,Generalist,Bocoa,prouacensis,Bocoa prouacensis,1.46187417656575,-1.6697425000000001,0.2454432025,0.931822164,2.011199059,3.1884644245000002,1.9,54.24,0.523940247252747,1.06837117428027,1.28270829170829,4.70426312149389,1.1596117551900782,233.974359,0.788,22,3,16,4,Middle
156,144042,9/11/2020,Paracou,14,3,814,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,1.72846590511378,-2.075235,0.2091832325,1.0107810135,3.3074537399999997,4.527417986,1.12,50.19,0.386825241425242,5.80657942057942,0.367796489225061,3.59025010703582,1.190405685519692,298.0769231,0.822,18,3,16,2,Middle
157,143500,9/11/2020,Paracou,14,3,271,BF,BF,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,3.07,-2.2809775,0.34455464950000003,1.751753425,4.200868001,6.2971760754999995,1.14,51.46,0.5205665001665,5.94144455544456,0.999864421292993,5.43815220493792,1.3288764717621235,349.3589744,0.795,18,3,16,2,Middle
158,144184,9/11/2020,Paracou,14,3,2659,BF,BF,Iryanthera,hostmannii,Iryanthera hostmannii,1.42105119131966,-1.66375,0.19506464950000002,1.083970101,3.3739210594999998,4.6529558095,1.48,50.95,0.845241824841825,5.75662937062937,0.058106179534751,11.3672231340089,1.314821536600121,118.5897436,0.801,12,2,10,3,Middle
159,143542,9/11/2020,Paracou,14,3,314,TF,Generalist,Eschweilera,coriacea,Eschweilera coriacea,1.13993917390648,-1.6857225000000002,0.239431497,1.1934061685000001,5.355810193,6.788647858,1.35,54.47,0.407040586960147,2.41234217108554,1.54313585364111,3.18768419924248,1.2586735517185732,492.4242424,0.812,20,3,20,4,High
160,143554,9/11/2020,Paracou,14,3,326,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,4.19157732313851,-2.0173075000000003,0.260763445,1.256630627,3.4047438330000004,4.922137905,1.13,47.68,0.640087066666667,3.058636,0.376264285714286,5.61859035714286,1.7215747215747215,304.4871795,0.813,18,2,14,4,Low
161,143929,9/11/2020,Paracou,14,3,701,BF,Generalist,Chrysophyllum,prieurii,Chrysophyllum prieurii,1.22351079241515,-2.20707,0.1303132395,0.6430487924999999,2.946946365,3.720308397,1.89,52.38,0.530617684351018,14.1114974974975,0.328292578292578,5.38897933647934,1.4288313788920342,173.0769231,0.802,22,3,15,2,Low
162,143947,9/11/2020,Paracou,14,3,719,TF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,6.19428253934473,-1.5538875,0.3300261955,1.7274393455000001,2.8169099495,4.8743754905,2.08,53.36,0.544997072521623,5.87563473053892,0.476561163387511,2.41176682349587,1.2230889235569422,272.4358974,0.794,22,5,18,3,Low
163,143969,9/11/2020,Paracou,14,3,741,TF,Generalist,Tachigali,melinonii,Tachigali melinonii,2.80409162664477,-1.9274200000000001,0.6900418610000001,2.2322741855,5.488820456,8.411136503,2.6,46.05,0.667917273482959,2.61459950124688,0.282458140363377,6.38263377271108,1.2715447154471544,304.4871795,0.802,35,5,23,4,Middle
164,143250,9/11/2020,Paracou,14,3,20,BF,Generalist,Bocoa,prouacensis,Bocoa prouacensis,2.22473673006934,-1.8754850000000003,0.2872121015,1.195661976,2.4810541845,3.9639282624999996,2.25,60.21,0.490791670831251,1.36020589705147,0.582073249089741,5.83067501963304,1.0034506556245686,253.2051282,0.805,24,3,18,4,Middle
165,143346,9/11/2020,Paracou,14,3,116,BF,BF,Laetia,procera,Laetia procera,0.861663981071752,-2.05526,0.1498475165,1.0095423075,3.4261684505,4.5855582735,1.42,45.43,0.864383642129862,2.84615523284927,0.803068889047857,12.3621335574791,1.5750306816913977,568.1818182,0.822,25,3,23,3,High
166,143641,9/11/2020,Paracou,14,3,413,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,1.44544975458304,-1.8175575000000002,0.17969516400000002,0.986224133,3.2553125415000004,4.421231839000001,0.93,53.18,0.378265331998665,4.09423023023023,0.170885170885171,2.60894930644931,1.3375778155065081,352.5641026,0.778,10,3,7,4,Middle
167,143877,9/11/2020,Paracou,14,3,649,BF,Generalist,Eschweilera,coriacea,Eschweilera coriacea,0.752451762210041,-1.63179,0.18174156000000002,0.9811718229999999,4.697256609,5.8601699915,1.69,54.88,0.603380306054557,6.21495608782435,0.1633875106929,5.56246542629028,1.138374647003452,435.8974359,0.8,22,4,20,4,High
168,144204,9/11/2020,Paracou,14,3,2679,BF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,2.98896104862227,-1.51993,0.39115368650000004,1.007191569,2.229195103,3.6275403585,2.14,48.68,0.49081410192147,4.3527679197995,0.678560687432868,2.28079233798783,1.2801432550736167,189.1025641,0.795,17,2,17,2,High
169,144207,9/11/2020,Paracou,14,3,2682,TF,Generalist,Tachigali,melinonii,Tachigali melinonii,1.52544551694905,-1.7656225,0.378414045,1.479070485,3.0899800199999996,4.9474645504999994,3.22,51.62,0.753087066666667,4.997386,0.252314285714286,6.98359035714286,1.2740980075390416,125,0.83,32,5,22,5,Middle
170,144835,9/11/2020,Paracou,14,4,593,TF,TF,Iryanthera,sagotiana,Iryanthera sagotiana,1.00698750909141,-1.5938375000000002,0.377409131,2.0682526575,6.721798679,9.1674604675,1.11,48.76,0.584756579826319,1.91271142284569,1.53643716003435,6.11582200114515,1.642500958956655,73.71794872,0.817,15,3,13,3,Middle
175,144269,9/11/2020,Paracou,14,4,26,TF,TF,Dicorynia,guianensis,Dicorynia guianensis,2.68313164210748,-1.45601,0.1813278815,1.099401115,3.948591995,5.2293209915,2.36,52.05,1.01559486409872,1.0263991995998,0.0176681197741728,7.14216143786179,1.5698808234019503,NA,0.834,25,3,25,4,High
140,126739,12/11/2020,Paracou,11,1,216,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,3.85035238455184,-1.9374075000000002,0.23386042099999999,1.1103458824999999,3.0955708370000004,4.4397771405,1.06,51.46,0.453060536398468,7.60858170914543,0.542592989219676,4.43087491968302,1.2122905027932962,314.1025641,0.831,16,2,14,2,Middle
174,205811,12/11/2020,Paracou,11,2,2966,BF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,4.1022002359404,NA,0.35436530050000004,1.82360001,0.9635401429999999,3.1415054534999998,1.78,54.33,0.464594363848591,10.6076898449225,0.893811191309941,2.34176123776174,1.2463299328191095,262.8205128,0.821,13,5,13,4,High
177,128304,12/11/2020,Paracou,11,2,558,TF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,5.54473376172186,-1.8255475,0.48342046299999997,1.7995446875,5.559386678499999,7.842351829,2.38,53.14,0.772700716308512,2.52887156421789,1.29271792675091,3.01233419004783,2.0570910738559127,275.6410256,0.822,18,3,17,3,Middle
178,131244,12/11/2020,Paracou,11,4,2848,BF,BF,Pterocarpus,officinalis,Pterocarpus officinalis,3.99580882142405,-1.4080700000000002,0.22723567249999999,0.9653079275,3.083099218,4.275642818,2.79,52.03,1.48331203471875,2.04445267901853,0.0315065455325846,14.0396498318907,2.092990654205608,NA,0.817,13,5,11,5,Low
179,226979,12/11/2020,Paracou,11,2,2979,BF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.19942342332891,-1.36013,0.40244144800000003,1.4960303069999998,6.2866380135,8.1851097685,1.11,44.77,0.423227225827925,2.59624163754368,0.670358747592896,1.80288602810071,1.2264300847457628,265.1515152,0.829,15,2,13,4,Middle
180,226634,12/11/2020,Paracou,11,2,2972,BF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,4.4392918342187,NA,0.3050346525,1.28805999,1.9477421709999998,3.5408368135000003,2.32,58.79,0.636268932200566,5.00488355822089,0.819454558435068,2.78419825801385,1.4108508014796548,288.4615385,0.783,13,5,13,4,Low
181,130974,12/11/2020,Paracou,11,4,994,BF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,3.02608580846313,-1.5259225,0.300311771,1.3571390115000002,4.918284838,6.575735621,1.13,49.94,0.433337072275079,2.14209914872309,0.787545604120467,6.12277451892124,1.438854204921043,211.5384615,0.842,18,2,16,3,Middle
182,131011,12/11/2020,Paracou,11,4,1032,BF,BF,Pterocarpus,officinalis,Pterocarpus officinalis,1.70457737886203,-1.6158100000000002,0.296633639,1.3638603075,4.8601277425,6.520621689,3.09,52.03,1.4728777500416,2.59249725411882,0.0337486627202054,18.630644390557,2.802896725440806,375,0.809,23,3,19,4,Low
183,127971,12/11/2020,Paracou,11,2,196,TF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,1.61623852152435,-1.63978,0.20197678149999998,0.6535118805,1.6027086515,2.458197314,1.56,47.21,0.669087066666667,6.202386,0.0486142857142857,6.10359035714286,1.1668533034714446,NA,0.803,15,2,14,3,High
184,127386,12/11/2020,Paracou,11,1,896,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,6.34502996639491,-1.8654975,0.1994129335,1.000994319,3.0647140884999997,4.265121341,0.73,46.3,0.387818157587873,4.14356421789105,0.460833868779896,6.56530770329121,1.1670652953838794,365.3846154,0.809,18,4,16,4,Middle
186,226623,12/11/2020,Paracou,11,1,2966,TF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,5.13773822144413,-1.3761100000000002,0.343924538,1.5715343685,1.003420486,2.918879393,2.04,53.23,0.51434423878606,3.79053126563282,0.675201886657615,2.41629850639605,1.4660090642495336,291.6666667,0.831,22,4,21,4,High
187,184588,12/11/2020,Paracou,11,4,2905,TF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,3.95457082348012,-1.4679950000000002,0.392978858,2.0507313015,2.945324596,5.3890347555,2.33,54.48,0.613814696058784,5.3380621242485,0.973811909533352,2.52263562839966,1.5733532934131738,269.2307692,0.8,17,4,16,4,High
189,129933,12/11/2020,Paracou,11,3,1044,TF,Generalist,Virola,michelii,Virola michelii,1.69064925119925,-2.035285,0.29589732950000003,1.8838509605,4.320344039,6.500092329499999,1.47,49.01,0.503087066666667,3.470136,0.578864285714286,5.01109035714286,1.2473594548551958,NA,0.691,25,4,22,4,Middle
190,130118,12/11/2020,Paracou,11,4,48,TF,Generalist,Virola,michelii,Virola michelii,2.92187040932001,-2.0252975,0.4163105025,2.123851988,3.3560861705000002,5.896248661,1.44,52.55,0.481868935602269,5.55293893893894,0.421786071786072,4.09268304018304,1.3051901458981103,NA,0.776,26,3,23,3,Middle
191,129381,12/11/2020,Paracou,11,3,468,TF,TF,Poraqueiba,guianensis,Poraqueiba guianensis,0.888803299525102,-1.8515150000000002,0.2595336575,1.1896434660000001,3.713730031,5.162907154,1.17,56.68,0.432344411077744,6.61900500500501,0.61998426998427,3.15399435149435,1.4063734753478785,326.9230769,0.803,17,4,14,3,High
192,130018,12/11/2020,Paracou,11,3,2301,BF,Generalist,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,5.52359433153997,-1.2462725000000001,0.538209156,1.662745931,2.588450579,4.7894056665,1.84,51.25,0.630326413838989,3.63711177644711,0.835193897918449,2.87359317080125,1.8900487125956855,214.7435897,0.816,28,4,24,4,High
193,129031,12/11/2020,Paracou,11,3,103,TF,Generalist,Virola,michelii,Virola michelii,2.45019095151018,-1.723675,0.22977528949999998,1.280254844,3.600907248,5.110937380999999,1.9,50.91,0.579666733400067,7.48487087087087,0.771635921635922,4.49333369083369,1.4759443829211272,NA,0.785,18,2,15,3,Middle
194,128754,12/11/2020,Paracou,11,2,1031,BF,Generalist,Tachigali,melinonii,Tachigali melinonii,2.33443133725786,-2.23903,0.576319429,2.227725585,3.9011674149999997,6.705212428499999,2.98,53.65,0.682904162504163,2.32830769230769,0.178186099614671,6.83175859854431,1.0982839313572543,490.3846154,0.79,29,5,24,5,Middle
195,128369,12/11/2020,Paracou,11,2,628,TF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,0.970206230789452,-1.659755,0.12417473500000001,0.49384113900000004,1.613625163,2.231641037,1.86,45.55,0.711807547797174,11.9674673316708,0.0897898111863199,3.21929212682579,1.0501022494887526,NA,0.807,16,2,16,3,Middle
116,138317,13/11/2020,Paracou,13,2,282,BF,BF,Iryanthera,hostmannii,Iryanthera hostmannii,1.01421371988512,-1.75164,0.269953978,1.241736823,3.6368777094999998,5.148568511500001,1.6,51.88,0.616703770437104,9.76715315315315,0.328442728442728,8.16175210925211,1.128575474369867,134.6153846,0.739,13,2,12,3,High
148,138144,13/11/2020,Paracou,13,2,108,BF,BF,Laetia,procera,Laetia procera,2.03998391994282,-1.6617525000000002,0.16637232000000002,0.965685276,1.5749695895,2.7070271850000003,1.49,48.83,0.475287066666667,12.517386,1.61936428571429,4.84084035714286,1.967543963177151,637.8205128,0.805,17,2,17,2,High
149,138122,13/11/2020,Paracou,13,2,86,BF,BF,Pterocarpus,officinalis,Pterocarpus officinalis,1.20358031030873,-1.6158100000000002,0.2963099555,1.464117785,2.193809128,3.9542368685,2.27,46.72,0.98060646020646,3.36701898101898,0.0186506350792065,10.6829074496932,1.4783157894736845,381.4102564,0.828,28,4,23,2,Low
150,138083,13/11/2020,Paracou,13,2,47,BF,Generalist,Bocoa,prouacensis,Bocoa prouacensis,2.30671226368358,-2.1511400000000003,0.18548510550000002,0.8950370825,2.1098659795000003,3.190388168,2.28,61.12,0.567735463471459,1.2729765351972,1.01833678054347,3.31262142500535,1.1154346694429984,243.5897436,0.75,12,5,12,4,High
171,140725,13/11/2020,Paracou,13,4,669,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,3.34370200796961,-1.40008,0.2923735945,1.433752645,4.4916424415,6.217768681,1.22,59.02,0.467003060545576,2.44524550898204,0.93399629312803,3.70642750213858,1.3231268011527377,208.3333333,0.829,22,4,18,4,Middle
172,141137,13/11/2020,Paracou,13,4,2830,TF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,2.53889422173705,-1.8495175000000001,0.17525868849999998,0.5127737784999999,1.946413662,2.6344461295,2.07,45.06,0.791087066666667,12.742386,0.336764285714286,3.25759035714286,1.0790808404927026,NA,0.817,16,2,14,2,Middle
173,141103,13/11/2020,Paracou,13,4,2501,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.9469526806118,-1.4899675000000001,0.34407390000000004,1.861802839,6.526337001,8.73221374,1.21,47.6,0.473823978655995,2.65471335667834,1.36154505824341,5.64141106267419,1.4901065449010655,166.6666667,0.843,19,3,15,4,Middle
176,138115,13/11/2020,Paracou,13,2,79,BF,Generalist,Conceveiba,guianensis,Conceveiba guianensis,1.36110197055076,-1.9114400000000002,0.1203167755,0.5295042825,1.8863990225,2.5362200809999997,2.56,48.62,1.66508706666667,4.455136,0.0292942857142857,12.8635903571429,1.6320069204152252,NA,0.805,18,2,12,2,Low
185,141112,13/11/2020,Paracou,13,4,2805,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.85533111747469,-1.5259225,0.2500502115,1.359266037,4.036594098,5.6459103465,1.32,56.28,0.48037631403859,2.65707185628743,1.24986455660108,4.17249536641004,1.4989354151880765,163.4615385,0.815,16,3,13,3,Middle
196,137892,13/11/2020,Paracou,13,1,1100,BF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,1.51164922317648,-1.4620025,0.3190499175,1.3725053885,5.256258079,6.9478133855,1.27,53.29,0.472912066666667,5.527386,0.729364285714286,3.48959035714286,1.129451395572666,288.4615385,0.8,23,2,20,3,Low
198,140467,13/11/2020,Paracou,13,4,406,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.08974545222829,-1.56787,0.24251052350000002,1.378538871,4.5195325085,6.140581902499999,1.15,50.48,0.469171652492913,2.35106153076538,0.87980418780819,4.22845458443507,1.1529442417926006,214.7435897,0.815,22,2,18,3,High
199,140512,13/11/2020,Paracou,13,4,452,TF,Generalist,Bocoa,prouacensis,Bocoa prouacensis,1.36068378471381,-1.6677450000000003,0.2127911415,0.8203742650000001,1.7574048285,2.790570235,1.91,54.58,0.549686439545758,0.68575751503006,0.674212711136559,4.48230496707701,1.379144851657941,189.3939394,0.762,25,4,22,4,Middle
200,138434,13/11/2020,Paracou,13,2,400,TF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,2.17719164988709,-1.4620025,0.3172430405,1.7963244395,5.1182507699999995,7.23181825,1.09,51.31,0.396587066666667,2.297386,1.02036428571429,3.90984035714286,1.2752585521081938,185.8974359,0.811,26,4,24,4,Middle
201,137902,13/11/2020,Paracou,13,1,1110,BF,BF,Eperua,falcata,Eperua falcata,0.890125464704991,-1.9853475000000003,0.46723890300000004,3.3868108665,6.142772068,9.9968218365,1.89,52.35,0.856658737298018,5.44466366816592,0.177625472977797,8.20448811308632,1.2271596160682543,493.5897436,0.789,26,4,22,5,High
202,138104,13/11/2020,Paracou,13,2,68,BF,BF,Eperua,falcata,Eperua falcata,0.898129176674234,-1.7396550000000002,0.34500349750000003,2.9392842310000002,6.958726824999999,10.24301455,1.94,52.09,0.798885952619286,5.77315915915916,0.563928213928214,4.96455491205491,1.567324333679474,407.0512821,0.799,22,4,18,4,Middle
203,138158,13/11/2020,Paracou,13,2,122,BF,Generalist,Eschweilera,coriacea,Eschweilera coriacea,1.26502722756548,-1.7356600000000002,0.19995165850000002,0.95212525,2.4716618405000004,3.623738749,1.83,51.63,0.754209961685824,5.18979110444778,1.79346755193832,3.22922574427072,1.721584758605759,358.974359,0.819,16,2,16,2,High
204,138157,13/11/2020,Paracou,13,2,121,BF,BF,Laetia,procera,Laetia procera,3.36744151451935,-1.8355350000000001,0.1977718735,1.1539656200000001,5.199888093,6.5516255865,1.78,50.39,0.717869197469197,8.72865734265734,1.67019409162266,6.22736299414871,1.4423407917383824,660.2564103,0.824,27,4,25,4,High
205,138138,13/11/2020,Paracou,13,2,102,BF,BF,Iryanthera,hostmannii,Iryanthera hostmannii,0.833688733367185,-1.6417775,0.2475489015,1.349490528,3.1186402415,4.715679671,1.47,52.88,0.632688999667664,6.70227916251246,0.0747400655177325,7.67057862127902,1.3966408268733852,211.5384615,0.803,13,2,8,2,Low
206,138128,13/11/2020,Paracou,13,2,92,BF,BF,Carapa,surinamensis,Carapa surinamensis,1.29432995454399,-1.8275450000000002,0.1755967595,0.841859534,1.599826157,2.6172824505,1.73,48.51,0.814994563948641,7.30103651825913,0.34348602872865,5.19618845136854,1.4861878453038675,NA,0.821,20,2,16,3,Middle
207,138143,13/11/2020,Paracou,13,2,107,BF,BF,Symphonia,globulifera,Symphonia globulifera,1.39622653658527,-1.7096925000000003,0.2901420415,2.6957853634999998,1.7530502380000001,4.7389776435,1.53,49.77,0.684402664002664,8.84853746253746,1.84601826744684,15.503087269873,2.4093012494215644,230.7692308,0.747,23,2,17,3,Middle
197,138966,16/11/2020,Paracou,13,2,938,BF,BF,Protium,opacum subsp. rabelianum,Protium opacum subsp. rabelianum,8.0259114346937,-2.2689925,0.344929591,1.861012003,3.1743560005,5.380297595,1.58,50.53,0.754587066666667,5.697386,0.337014285714286,6.99859035714286,1.1429093567251463,275.6410256,0.848,16,4,15,3,High
208,138955,16/11/2020,Paracou,13,2,926,BF,BF,Carapa,surinamensis,Carapa surinamensis,1.34452500728458,-1.7216775000000002,0.1378552035,0.678896108,1.1540573105,1.9708086219999998,1.78,48.11,0.682110232014689,8.16964046069104,0.592252664711353,4.77325023249159,1.4920034535213582,NA,0.828,18,2,16,3,Middle
213,138956,16/11/2020,Paracou,13,2,927,BF,BF,Eperua,falcata,Eperua falcata,2.91132759582417,-1.8834750000000002,0.4207275455,3.1336397015,6.297768052,9.8521353015,2.06,51.98,0.864383642129862,7.49362643965949,0.506624222047357,5.43674547535589,1.4372670807453418,467.9487179,0.817,16,2,14,3,Middle
221,138754,16/11/2020,Paracou,13,2,720,BF,BF,Pterocarpus,officinalis,Pterocarpus officinalis,2.18697937003723,-1.8635000000000002,0.2524197505,1.4663645005000001,2.28258273,4.0013669805,2.55,52.33,1.1002493765586,7.33594242964019,0.0396122194513716,8.26000014250089,1.4668109668109666,298.0769231,0.804,18,3,15,3,Low
222,138533,16/11/2020,Paracou,13,2,499,BF,Generalist,Eschweilera,coriacea,Eschweilera coriacea,1.39982690287318,-1.9513900000000002,0.1779603565,0.9380244315,3.116096643,4.232081431,2.03,52.44,0.798,2.65728228571429,0.28601125,5.73565014285714,1.187835857352223,400.6410256,0.759,28,4,23,3,Middle
223,138957,16/11/2020,Paracou,13,2,928,BF,BF,Symphonia,globulifera,Symphonia globulifera,1.43294753848301,-1.6837250000000001,0.257698944,2.7940570745,2.838728325,5.890484344,1.48,48.6,0.678642714570858,5.73281665240947,2.21707709580838,13.4537426575421,2.003532008830022,192.3076923,0.811,21,4,21,4,High
224,138814,16/11/2020,Paracou,13,2,782,BF,Generalist,Hymenopus,heteromorphus,Hymenopus heteromorphus,7.59565193391751,-1.464,0.3219537815,1.606783961,5.054583344,6.9833210865,1.07,50.91,0.467482517482518,2.14813415156272,1.04871253746254,4.39200813472242,1.1425702811244982,115.3846154,0.798,18,2,16,2,Middle
